question,Intent
"Saya masih sering merasa tidak percaya diri dan masih mengalami konflik antara pikiran dan perasaan saya. Tapi, saya mencoba untuk lebih menyadari ketika pikiran buruk muncul.",Reaksi Terkejut dan Tidak Terduga; Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Iya, saya masih merasa tertekan saat di rumah. Saya takut melakukan kesalahan karena ayah saya bisa marah dan memukul saya. Saya juga masih merasa canggung saat berbicara dengan teman-teman saya.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Terima kasih, Kak. Saya merasa ada banyak hal yang mengganggu pikiran saya. Saya bingung dengan hubungan saya dan juga merasa terbebani dengan kondisi keuangan keluarga saya.",Perasaan Benci dan Jijik; Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Saya ingin membahas tentang hubungan saya dengan pacar dulu. Saya merasa bingung, karena kami sudah hampir tiga tahun bersama, tapi akhir-akhir ini rasanya berbeda.",Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Saya sering kali merasa tidak nyaman dengan hubungan ini. Setelah masuk kuliah, kami jarang bertemu karena kampus kami berbeda. Awalnya saya merasa kesal, tapi lama-lama saya juga mulai terbiasa sendiri. Saya sering menghindari komunikasi dengan dia, misalnya tidak membalas chat dan menjauh tanpa alasan yang jelas.",Perasaan Benci dan Jijik; Perasaan Sedih dan Kehilangan; Perasaan Marah dan Frustasi; Perasaan Sebelum Menghadapi Kejadian
"Dia sering bertanya kenapa saya menjauh, dan saya selalu meminta maaf. Dia biasanya bisa mengerti, tapi karena ini terjadi berkali-kali, akhirnya kami sering bertengkar. Sampai akhirnya bulan lalu dia bilang ingin break untuk introspeksi diri.",Perasaan Benci dan Jijik; Reaksi Terkejut dan Tidak Terduga; Perasaan Marah dan Frustasi; Perasaan Sebelum Menghadapi Kejadian
"Iya, saya merasa lebih nyaman sendiri karena tidak ada tuntutan untuk selalu merespons seseorang. Tapi di sisi lain, saya merasa kehilangan. Saya juga merasa bersalah karena mungkin sikap saya yang membuat dia ingin break.",Rasa Syukur dan Apresiasi; Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Sejak setahun terakhir, orang tua saya sering membicarakan masalah keuangan di depan saya. Saya jadi merasa terbebani dan berpikir bahwa saya hanya menambah masalah bagi keluarga.",Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga
Saya sering merasa stres dan kurang fokus di kampus. Bahkan ada saat-saat di mana saya merasa ingin menyerah dan berpikir bahwa lebih baik saya tidak ada di dunia ini.,Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga
"Terima kasih, Kak. Saya ingin membicarakan tentang kecemasan saya ketika harus berbicara di depan umum. Saya selalu merasa takut, tangan saya gemetar, dan sulit berkata-kata.",Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Saya sudah merasa seperti ini sejak lama, mungkin sejak SD. Saya pernah mengalami kejadian yang membuat saya malu saat kelas 3 SD, ketika saya berbicara dalam bahasa Jawa di depan guru dan teman-teman saya. Guru saya mengoreksi saya dan mengatakan bahwa kata yang saya gunakan memiliki arti yang berbeda dalam bahasa Indonesia.",Perasaan Percaya; Perasaan Marah dan Frustasi
"Saya merasa malu dan salah. Saya tahu guru saya tidak bermaksud jahat, tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan; Perasaan Marah dan Frustasi
"Saya merasa sangat gugup. Bahkan sebelum berbicara, saya sudah berpikir bahwa saya akan salah bicara dan orang-orang akan menertawakan saya. Ketika akhirnya saya berbicara, tangan saya gemetar dan saya tidak bisa berpikir jernih.",Perasaan Takut dan Kecemasan
"Tentu, Kak.",Rasa Syukur dan Apresiasi
"Ya, saya sebenarnya paham, tapi saya takut salah bicara.",Perasaan Takut dan Kecemasan
Sebenarnya mereka biasa saja. Tidak ada yang mengejek atau mempermalukan saya.,Rasa Syukur dan Apresiasi
0,Rasa Syukur dan Apresiasi
"Baik, Kak. Saya mengalami banyak hal sejak kecil, dan itu masih berdampak pada saya sampai sekarang.",Perasaan Sedih dan Kehilangan
"Saya mengalami perundungan sejak SD, SMP, hingga SMA. Saya sering dikucilkan, dihina secara verbal, bahkan mengalami kekerasan fisik. Waktu SD, saya pernah dipukul dengan batako dan mata saya dimasukkan pasir oleh teman-teman saya.",Perasaan Sedih dan Kehilangan
"Saya melapor ke orang tua saya, tapi mereka justru memarahi saya. Ayah saya memukul saya dengan selang dan berkata bahwa saya harus melawan, jangan jadi anak yang lemah.",Perasaan Marah dan Frustasi
"Saya merasa kecewa dan putus asa. Saya berpikir bahwa saya harus menghadapi semuanya sendirian. Sejak itu, saya tidak pernah lagi bercerita kepada orang tua saya.",Perasaan Benci dan Jijik; Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. Saya menganggap boneka itu sebagai teman saya. Lalu di SMP, saya mulai melihat sosok yang hanya saya yang bisa lihat dan ajak bicara.",Perasaan Sedih dan Kehilangan; Perasaan Sebelum Menghadapi Kejadian
"Iya, sosok ini datang saat saya merasa sangat sendirian. Saya juga beberapa kali mencoba mengakhiri hidup, tapi saya masih bertahan sampai sekarang.",Perasaan Sedih dan Kehilangan
"Tidak sesering dulu, Kak. Tapi kadang-kadang saat saya sendirian atau di tempat ramai, sosok itu tiba-tiba muncul dan berbicara kepada saya.",Reaksi Terkejut dan Tidak Terduga
Tidak ada yang menakutkan. Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.,Perasaan Percaya
"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. Saya pernah terkena TB usus, dan saya juga sering kambuh maag serta asam lambung. Terakhir kali kambuh saat ospek kemarin, mungkin karena kelelahan dan pola makan yang tidak teratur.",Perasaan Sedih dan Kehilangan
"Sudah, Kak. Saya tahu saya harus menjaga pola makan dan sudah beberapa kali berkonsultasi dengan dokter.",Perasaan Marah dan Frustasi
"Sebenarnya tidak terlalu mengganggu, tapi ada saat-saat di mana saya merasa sangat lelah dan sulit berkonsentrasi. Kadang saya khawatir apakah saya bisa bertahan dengan jadwal kuliah yang padat.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
Iya. Saya takut kalau nanti saya tidak bisa mengatur waktu dengan baik dan akhirnya ketinggalan tugas. Saya sering merasa cemas membandingkan diri saya dengan teman-teman yang terlihat lebih bisa mengatur semuanya dengan baik.,Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Di rumah ada banyak konflik antara ayah dan ibu, terutama tentang peran mereka dalam keluarga. Ayah saya memiliki pola pikir yang sangat patriarkal, sementara ibu saya ingin lebih mandiri. Mereka sering bertengkar tentang hal itu.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang.",Perasaan Benci dan Jijik; Rasa Syukur dan Apresiasi
"Iya, saya merasa lebih bisa bercerita dengan ibu. Tapi saya juga merasa ada jarak dengan ayah, dan saya tidak tahu apakah itu baik atau buruk.",Rasa Syukur dan Apresiasi; Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga
"Baik, Kak. Saya sering merasa kehilangan kesadaran atau hampir pingsan ketika mendengar bentakan atau suara keras. Saya juga merasa sering menyalahkan diri sendiri dan sulit mengekspresikan emosi saya.",Perasaan Benci dan Jijik; Perasaan Takut dan Kecemasan
"Sejak kelas 12 SMA. Saat itu saya ikut pelatihan paskibra dan pelatihnya sering berteriak dengan nada tinggi. Saya mulai merasa pusing, jantung berdebar, hingga kehilangan keseimbangan.",Perasaan Takut dan Kecemasan
"Mungkin karena sejak kecil saya sering mendapat tekanan dari orang tua saya. Mereka menuntut saya untuk selalu mengalah dan menjaga adik saya. Ibu saya perfeksionis, dan saya merasa harus selalu memenuhi harapan mereka.",Perasaan Sedih dan Kehilangan; Perasaan Marah dan Frustasi
"Ibu saya selalu menuntut saya untuk menjadi yang terbaik, baik dalam hal akademik maupun sikap. Saya selalu diminta untuk menjaga adik saya, meskipun saya merasa adik saya sulit diatur. Kami sering bertengkar, tapi ibu selalu berpihak pada adik saya.",Perasaan Marah dan Frustasi
Saya biasanya hanya diam dan memendam perasaan saya. Saya tidak ingin marah karena takut dianggap anak yang durhaka.,Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Saya masih merasa ada jarak, terutama dengan ibu saya. Saya ingin bisa berkomunikasi lebih baik, tapi saya juga takut jika saya menyampaikan perasaan saya, mereka akan marah.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
Saya pernah mengalami bullying saat SMA. Salah satu teman saya mengajak teman-teman lain untuk menjauhi saya karena saya dianggap 'cupu'. Saya tidak melawan atau melaporkan kejadian itu karena saya tidak ingin menambah masalah.,Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan; Perasaan Marah dan Frustasi
"Saya merasa sangat sendirian. Saya ingin berbicara dengan orang tua saya, tapi saya tahu mereka akan marah dan menganggap saya lemah.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Saya baik-baik saja, Kak. Tapi saya juga merasa cemas, terutama tentang tugas ospek yang harus diposting di media sosial.",Rasa Syukur dan Apresiasi; Perasaan Sebelum Menghadapi Kejadian
"Suara-suara itu mulai muncul lagi, terutama saat saya merasa diperhatikan. Saya juga masih merasa takut kalau suatu hari ada yang menghubungkan saya dengan foto yang pernah tersebar.",Perasaan Takut dan Kecemasan
"Beberapa hari lalu, ketika ada orang yang melihat saya dari kepala sampai kaki. Saya langsung merasa panik dan mendengar suara yang mengatakan 'kamu tidak layak dicintai'",Perasaan Benci dan Jijik; Perasaan Takut dan Kecemasan
"Saya biasanya mengabaikannya, tapi ada saat di mana saya merasa perlu diperhatikan oleh orang lain, agar saya merasa lebih baik.",Perasaan Benci dan Jijik; Rasa Syukur dan Apresiasi; Perasaan Sebelum Menghadapi Kejadian
"Ya, saya merasa tidak aman. Rasanya seperti semua orang akan menilai saya berdasarkan masa lalu saya.",Perasaan Takut dan Kecemasan
Itu mungkin bisa membantu. Saya akan mencobanya.,Perasaan Percaya
Teman saya mengatakan sesuatu yang menyebalkan tentang kejadian lama itu. Saya langsung marah dan mendorongnya.,Perasaan Marah dan Frustasi
"Saya merasa cukup cemas, Kak. Saya bingung dengan apa yang harus saya lakukan mengenai beasiswa saya yang sudah pasti akan dicabut.",Perasaan Sebelum Menghadapi Kejadian
"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, tapi juga merasa bersalah. Saya belum memberi tahu ibu saya soal beasiswa yang akan dihentikan, dan saya takut mengecewakan beliau.",Perasaan Benci dan Jijik; Reaksi Terkejut dan Tidak Terduga
"Ibu saya sangat bangga saya bisa kuliah di Maranatha, apalagi karena saya satu-satunya anak di keluarga yang bisa kuliah. Beliau sering membanggakan saya ke tetangga. Saya takut kalau saya memberitahu ibu, beliau akan kecewa atau sedih.",Rasa Syukur dan Apresiasi; Perasaan Takut dan Kecemasan
"YaÂ kalau saya terus menyembunyikannya, akhirnya ibu tetap akan tahu. Saya hanya tidak tahu bagaimana cara mengatakannya dengan baik.",Perasaan Takut dan Kecemasan
"Itu bisa jadi ide yang bagus, Kak. Kakak kedua saya yang membiayai kehidupan saya dan ibu, jadi mungkin saya bisa bicara dengannya dulu untuk mencari cara terbaik sebelum berbicara dengan ibu.",Perasaan Percaya
"Saya tidak tahu apakah itu mungkin, tapi saya ingin mencobanya. Saya ingin merasa bahwa saya sudah melakukan segalanya sebelum benar-benar berhenti kuliah.",Perasaan Percaya; Perasaan Sebelum Menghadapi Kejadian
Saya berpikir untuk mencari pekerjaan dulu. Mungkin saya bisa bekerja dan menabung untuk kembali kuliah di kemudian hari.,Perasaan Sebelum Menghadapi Kejadian
"Sejak kecil saya merasa sulit berteman. Saya merasa teman-teman saya tidak pernah mengajak saya bermain. Bahkan saat kuliah, saya pernah memiliki teman saat orientasi mahasiswa baru, tapi mereka sepertinya tidak benar-benar menganggap saya bagian dari kelompok mereka. Mereka sering bermain bersama tanpa mengajak saya.",Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga
"Sejak SD. Saya tidak punya teman. Lalu di SMP, saya menyukai seorang laki-laki, tapi dia malah mengatakan saya jelek dan gemuk. Di SMA, saya dijauhi oleh teman-teman tanpa alasan yang jelas. Saya pernah mencoba mendapatkan beasiswa ke Taiwan, tapi saat saya gagal, mereka justru tertawa dan mengatakan ingin 'meledakkan Taiwan'.",Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga; Perasaan Marah dan Frustasi
"Mungkin yang di SMA... saya merasa benar-benar tidak diinginkan. Saya merasa tidak dihargai, dan itu membuat saya bertanya-tanya, 'Untuk apa saya hidup?'",Perasaan Sedih dan Kehilangan
"Terima kasih, Kak",Perasaan Percaya
Mungkin... saya bisa mencoba.,Perasaan Percaya
"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. Kami sering bersama karena kami ada di kepanitiaan retreat yang sama. Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. Tapi semua berubah sejak dia mengira saya ingin merebut pacarnya.",Perasaan Percaya; Rasa Syukur dan Apresiasi; Reaksi Terkejut dan Tidak Terduga
"Saya hanya berbicara dengan pacarnya tentang perasaan saya yang merasa dimanfaatkan. Saya bilang kalau saya merasa seperti 'alat' yang membantu seseorang, tapi dia malah mengira saya mencoba mendekati pacarnya. Sejak itu, dia mulai menjauhi saya, mendiamkan saya di pertemuan, bahkan tidak menganggap saya ada di sana. Itu sangat menyakitkan karena saya tidak merasa melakukan kesalahan.",Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga
"Saya awalnya bingung. Saya tidak tahu harus bagaimana. Tapi puncaknya adalah saat dia menelepon saya dan memarahi saya habis-habisan, menuduh saya selingkuh dengan pacarnya. Kata-katanya kasar, dan dia sama sekali tidak mau mendengar penjelasan saya.",Reaksi Terkejut dan Tidak Terduga; Perasaan Takut dan Kecemasan
"Saya hanya diam. Saya takut kalau saya membela diri, dia akan semakin marah. Tapi setelah itu, saya merasa sangat kecewa dan sakit hati. Saya mulai menarik diri, bahkan saya tidak ingin berada di lantai yang sama dengannya saat ibadah.",Perasaan Benci dan Jijik; Perasaan Takut dan Kecemasan
Iya. Saya mulai sulit percaya pada orang lain. Saya tidak bisa bercerita kepada teman-teman di gereja karena saya takut mereka akan membicarakan saya di belakang. Saya juga jadi lebih mudah marah kalau ada orang yang bertanya-tanya soal keadaan saya.,Perasaan Takut dan Kecemasan; Perasaan Marah dan Frustasi
"Ya. Saya merasa sulit untuk dekat dengan teman-teman di kampus. Saya takut jika saya terlalu terbuka, saya akan dikhianati lagi. Saya tidak ingin terlalu dekat dengan siapa pun sekarang.",Perasaan Benci dan Jijik; Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Tapi sulit untuk percaya lagi, Kak. Rasanya seperti lebih baik menjauh dari semua orang daripada harus dikhianati lagi.",Perasaan Benci dan Jijik; Perasaan Sedih dan Kehilangan
"Saya baru tahu bahwa teman saya, B, menyebarkan isi chat saya di grup HIMA. Di chat itu, saya pernah bilang kalau saya tidak ingin berteman dengan orang lain selain yang sudah dekat dengan saya. Saya tidak mengerti kenapa B melakukan itu. Saya merasa sedih, tapi saya tidak tahu bagaimana mengungkapkan perasaan saya.",Perasaan Percaya; Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga
"Saya tidak mengatakan apa-apa. Saya hanya diam dan berpura-pura tidak tahu. Saya pikir, lebih baik saya tidak membahasnya daripada memperkeruh keadaan.",Perasaan Benci dan Jijik; Perasaan Sedih dan Kehilangan; Perasaan Sebelum Menghadapi Kejadian
"Sejujurnya, saya merasa sedih dan sedikit marah. Tapi saya selalu berpikir bahwa menunjukkan emosi negatif itu tidak baik. Saya tidak ingin terlihat lemah di hadapan B.",Perasaan Benci dan Jijik; Perasaan Sedih dan Kehilangan; Perasaan Marah dan Frustasi; Perasaan Sebelum Menghadapi Kejadian
"Iya, saya merasa kalau saya menunjukkan bahwa saya marah atau sedih, maka saya akan terlihat kalah di mata B.",Perasaan Marah dan Frustasi
"Saya cukup senang karena nilai saya meningkat. IPK saya sekarang 3.06, dan beasiswa Teknik Nusantara saya masih berlanjut.",Rasa Syukur dan Apresiasi
"Sebenarnya ada. Saya kesulitan mengkomunikasikan keinginan saya kepada dosen wali saya. Saya ingin mengkontrak 22 SKS, tapi karena dosen wali saya bilang 'tidak perlu ambil banyak-banyak,' saya langsung diam dan hanya mengikuti saran beliau.",Perasaan Takut dan Kecemasan
"Saya merasa sedikit lega, tapi tetap ada perasaan aneh. Saya merasa baik-baik saja sekarang, tapi tidak tahu apakah ini hanya sementara atau akan kembali lagi nanti.",Rasa Syukur dan Apresiasi; Reaksi Terkejut dan Tidak Terduga
Saya masih sering marah kalau ada orang yang menegur saya atau mengabaikan saya. Rasanya ingin membalas atau bahkan melukai mereka. Tapi saya sadar kalau itu berlebihan dan saya tidak ingin kelepasan.,Perasaan Marah dan Frustasi; Perasaan Sebelum Menghadapi Kejadian
"Tergantung. Biasanya kalau saya merasa tidak dihargai atau diabaikan, saya langsung kesal. Tapi akhir-akhir ini saya juga merasa lebih cepat marah kalau ada orang yang terlalu banyak bertanya atau ingin terlalu dekat dengan saya.",Perasaan Marah dan Frustasi
"Ada seorang teman saya, G. Dia sebenarnya baik, tapi akhir-akhir ini dia sering bertanya banyak hal dan ingin selalu bersama saya. Saya tidak suka dan merasa dia terlalu menempel.",Perasaan Benci dan Jijik; Perasaan Takut dan Kecemasan
"Iya, saya tidak suka rasanya. Tapi saya juga tidak ingin menyakiti perasaannya, jadi saya bingung harus bagaimana.",Perasaan Benci dan Jijik; Reaksi Terkejut dan Tidak Terduga; Perasaan Sebelum Menghadapi Kejadian
"Iya, tapi tidak sesering sebelumnya. Kadang saya masih merasa dia mengawasi saya, terutama kalau saya akan ujian atau merasa stres. Saya juga kadang masih mencium bau melati atau darah, dan itu sangat mengganggu.",Perasaan Benci dan Jijik; Rasa Syukur dan Apresiasi; Perasaan Takut dan Kecemasan
"Tidak selalu. Kadang dia muncul tanpa alasan, dan itu yang membuat saya takut.",Perasaan Takut dan Kecemasan
Tidak! Saya tidak mau ke psikiater,Perasaan Benci dan Jijik
"Tetap saja, saya tidak ingin orang tua saya tahu.",Perasaan Benci dan Jijik
"Baik, Kak.",Perasaan Percaya
"Iya, masih. Kadang muncul sebelum tidur atau saat saya merasa stres. Saya juga kadang masih mencium bau melati atau darah, tapi saya sudah mulai bisa mengabaikannya.",Rasa Syukur dan Apresiasi; Perasaan Takut dan Kecemasan
"Baiklah, saya akan coba menuliskannya",Perasaan Percaya
"Tidak banyak berubah, saya masih sering merasa tidak nyaman di rumah. Tapi saya lebih baik saat bersama ibu. Saya merasa lebih aman bersamanya dibandingkan dengan yang lain.",Perasaan Benci dan Jijik; Rasa Syukur dan Apresiasi; Perasaan Sedih dan Kehilangan
"Aku mencoba lebih membuka diri, mulai dari menyapa teman-teman lebih dulu. Rasanya agak canggung, tapi aku mencoba pelan-pelan.",Perasaan Percaya; Perasaan Takut dan Kecemasan
"Sejujurnya, belum ada perubahan besar. Aku masih belum punya teman yang benar-benar dekat di kampus, tapi setidaknya aku tidak lagi merasa terlalu sendirian.",Perasaan Percaya; Perasaan Sedih dan Kehilangan
"Masih sulit, Kak. Aku tetap merasa bahwa materi kedokteran tidak mudah untukku. Tapi aku mencoba untuk lebih rajin membaca dan mengerjakan tugas tepat waktu",Perasaan Sedih dan Kehilangan; Perasaan Sebelum Menghadapi Kejadian
"Baik, aku akan coba.",Perasaan Percaya
Aku masih sering berkomunikasi dengannya. Kami bertemu setiap liburan semester. Dia satu-satunya teman yang benar-benar mengerti aku.,Perasaan Percaya
"Sebenarnya, ada masalah baru, Kak. Ibuku baru saja tahu bahwa aku pernah berpacaran. Aku benar-benar takut dan cemas setelah beliau mengetahuinya.",Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga; Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
"Beberapa waktu lalu, aku sempat pacaran diam-diam, karena ibuku memang melarangku pacaran sejak SMA. Saat beliau tahu, handphone dan tabletnya langsung disita. Bahkan semua chat dan percakapanku dengan mantan dibaca habis oleh ibuku. Aku merasa benar-benar tidak punya ruang pribadi.",Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga; Perasaan Takut dan Kecemasan; Perasaan Marah dan Frustasi
"Aku marah, Kak. Tapi aku juga takut. Aku tahu ibuku ingin aku fokus kuliah, tapi aku juga merasa seperti tidak bisa jadi diri sendiri. Aku merasa terlalu dikekang.",Perasaan Percaya; Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan; Perasaan Marah dan Frustasi
"Tidak, Kak. Aku takut kalau aku mencoba bicara, malah tambah dimarahi atau dilarang lebih banyak hal lagi",Perasaan Benci dan Jijik; Perasaan Takut dan Kecemasan
Aku juga ingin bisa menghindari konflik. Tapi aku merasa seperti selalu salah di mata ibuku.,Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan
"Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat duluÂ",Perasaan Percaya; Perasaan Sebelum Menghadapi Kejadian
"Aku pusing banget, Kak. Aku merasa kayak nggak punya waktu buat diri sendiri. Aku kuliah, magang, terus masih harus ngurus organisasi juga. Aku nggak tahu lagi harus gimanaÂ Aku kepikiran buat keluar dari organisasi, tapi aku nggak yakin keputusan itu benar.",Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan; Perasaan Sebelum Menghadapi Kejadian
IyaÂ Awalnya aku nggak niat jadi ketua. Nama aku cuma dicantumin biar ada pilihan lebih dari satu. Tapi tiba-tiba aku malah yang kepilih,Perasaan Sedih dan Kehilangan; Reaksi Terkejut dan Tidak Terduga
"Awalnya biasa aja. Aku pikir bisa dijalanin. Tapi makin lama aku sadar kalau aku nggak punya cukup pengalaman, terus aku denger juga ada yang ngomongin aku di belakang. Katanya aku ketua yang nggak kerja.",Perasaan Percaya; Perasaan Sedih dan Kehilangan; Perasaan Marah dan Frustasi; Perasaan Sebelum Menghadapi Kejadian
"IyaÂ padahal aku udah berusaha sebisa mungkin. Tapi tetap aja kayaknya aku kurang. Aku juga merasa alumni lebih mendukung kandidat lain waktu pemilihan dulu, jadi kayaknya mereka nggak suka aku dari awal",Perasaan Percaya; Perasaan Sedih dan Kehilangan
"Awalnya aku pikir cuma perasaan, tapi lama-lama ada yang bilang kalau mereka memang lebih suka kandidat yang lain",Perasaan Percaya; Perasaan Sedih dan Kehilangan
"Iya, KakÂ Aku jadi kepikiran terus, padahal aku juga udah capek sama kuliah dan kerja magang",Perasaan Sedih dan Kehilangan; Perasaan Marah dan Frustasi
"Magang itu sebenarnya lumayan membantu aku untuk biaya jajan, jadi aku nggak mau berhenti. Tapi jadinya aku harus pintar bagi waktu. Masalahnya, aku nggak bisa. Aku sering begadang, kurang tidur, bahkan pernah nggak tidur tiga hari.",Perasaan Benci dan Jijik; Rasa Syukur dan Apresiasi; Perasaan Sedih dan Kehilangan; Perasaan Takut dan Kecemasan; Perasaan Marah dan Frustasi
"Ya, tugas banyak banget. Ada tugas kuliah, terus harus nyiapin laporan buat magang, dan ada rapat organisasi. Aku ngerasa nggak bisa ninggalin salah satu, jadi akhirnya ya udah, begadang terus.",Perasaan Sedih dan Kehilangan; Perasaan Marah dan Frustasi; Perasaan Sebelum Menghadapi Kejadian
